 Air Cargo Problem 1 , breadth_first_search                        ,43        ,56        ,180       ,6         ,0.03002137297880836      
 Air Cargo Problem 1 , depth_first_graph_search                    ,21        ,22        ,84        ,20        ,0.014143267995677888     
 Air Cargo Problem 1 , astar_search with h_1                       ,55        ,57        ,224       ,6         ,0.037771544011775404     
 Air Cargo Problem 1 , astar_search with h_ignore_preconditions    ,41        ,43        ,170       ,6         ,0.037063380994368345     
 Air Cargo Problem 1 , astar_search with h_pg_levelsum             ,11        ,13        ,50        ,6         ,0.5749169890186749       
 Air Cargo Problem 2 , breadth_first_search                        ,3346      ,4612      ,30534     ,9         ,15.422167637007078       
 Air Cargo Problem 2 , depth_first_graph_search                    ,107       ,108       ,959       ,105       ,0.3803772449900862       
 Air Cargo Problem 2 , astar_search with h_1                       ,4853      ,4855      ,44041     ,9         ,14.068826963019092       
 Air Cargo Problem 2 , astar_search with h_ignore_preconditions    ,1450      ,1452      ,13303     ,9         ,4.7732505629828665       
 Air Cargo Problem 2 , astar_search with h_pg_levelsum             ,86        ,88        ,841       ,9         ,56.69311063198256        
 Air Cargo Problem 3 , breadth_first_search                        ,14663     ,18098     ,129631    ,12        ,127.4830115379882        
 Air Cargo Problem 3 , depth_first_graph_search                    ,408       ,409       ,3364      ,392       ,2.0635967099806294       
 Air Cargo Problem 3 , astar_search with h_1                       ,18223     ,18225     ,159618    ,12        ,63.60666098201182        
 Air Cargo Problem 3 , astar_search with h_ignore_preconditions    ,5040      ,5042      ,44944     ,12        ,22.228635648993077       
 Air Cargo Problem 3 , astar_search with h_pg_levelsum             ,325       ,327       ,3002      ,12        ,306.2353400029824        
